0,0,11.1,5.5
1.04086,0.0573903,11.1099,5.49555
1.39325,0.589872,11.0978,5.51093
1.3941,1.35304,11.0395,5.56222
2.07386,1.95681,11.059,5.61183
2.3962,2.38701,11.013,5.64166
2.55198,2.91982,10.9161,5.70323
3.19995,3.46513,10.9457,5.7788
3.82841,3.39862,10.9728,5.6601
4.51066,3.66022,11.0231,5.65206
5.00354,4.60059,10.9988,5.92557
6.0325,5.91624,11.2163,6.38841
6.99717,6.70729,11.4144,6.61969
8.04557,6.98596,11.665,6.59224
8.57435,7.39817,11.6347,6.63826
9.514,7.47852,11.8451,6.4904
10.4014,7.54243,12.027,6.32976
10.7134,7.97757,11.8409,6.40607
10.7322,8.49504,11.4578,6.53781
11.1275,8.64287,11.335,6.41401
12.1032,8.56265,11.6266,6.12815
13.7739,8.65956,12.4251,5.9746
14.6534,8.21999,12.6191,5.4198
15.7904,7.52815,13.0081,4.67988
16.2559,7.02202,12.863,4.0995
17.0694,6.85718,12.9991,3.80415
17.8959,5.85372,13.1424,2.83505
19.2422,5.66026,13.7104,2.55882
19.8376,6.14302,13.635,2.85515
20.721,6.17921,13.8056,2.76507
20.9894,6.22622,13.4449,2.68709
22.1555,6.17358,13.8712,2.52569
22.8261,6.50908,13.8513,2.70789
23.4422,6.9386,13.7841,2.96614
24.2901,6.5221,13.9245,2.4666
25.6486,6.36159,14.5141,2.21389
26.4764,6.88535,14.6056,2.58385
26.9127,6.89066,14.3409,2.4723
27.5395,7.24216,14.2592,2.67851
28.131,7.52098,14.1487,2.81021
28.4143,8.41026,13.7617,3.49351
29.2165,9.018,13.8662,3.89016
29.5698,9.06003,13.5538,3.75005
30.3245,9.52699,13.6248,4.00759
30.6626,9.64118,13.3077,3.92795
30.791,9.50873,12.8102,3.62333
31.3272,9.78165,12.7134,3.70851
31.7892,9.6445,12.5518,3.40845
32.6092,10.5613,12.7311,4.10393
34.0453,11.234,13.4774,4.54032
34.6517,11.6968,13.4144,4.7607
35.4356,11.81,13.5203,4.64389
36.5197,11.9883,13.9027,4.59334
37.1625,12.1144,13.8537,4.49624
37.6932,12.1984,13.7015,4.36403
37.5658,12.1731,12.9379,4.13513
37.4994,12.3369,12.2669,4.0947
37.7432,12.5232,11.919,4.07733
38.3455,12.7268,11.9251,4.07713
38.9528,13.5023,11.9355,4.61588
39.5913,14.0055,11.9748,4.87278
40.7275,14.1784,12.4819,4.80607
41.2083,14.3181,12.3466,4.7111
41.5508,14.86,12.0871,5.00031
41.366,15.1814,11.3416,5.06775
42.2598,14.8507,11.6504,4.5159
43.0669,15.4553,11.8627,4.87393
43.4949,15.5745,11.7065,4.7562
43.9212,15.5921,11.5562,4.54796
44.8504,15.8261,11.8885,4.55422
45.7833,15.8837,12.2087,4.3933
46.3867,16.0089,12.2021,4.30384
46.8548,16.7812,12.0677,4.83116
47.0166,17.5128,11.6498,5.295
47.6777,18.2957,11.7241,5.78547
48.3133,19.0199,11.7709,6.19722
48.619,19.0034,11.5031,5.8882
48.5934,19.1263,10.9342,5.72583
48.6767,19.3725,10.4953,5.68786
48.6565,19.4498,9.9792,5.4917
48.934,19.4002,9.76936,5.18459
49.4321,19.4982,9.77856,5.03187
50.0494,19.7025,9.9001,4.98711
51.0145,20.1447,10.3455,5.16978
51.4652,20.7206,10.2824,5.47048
52.2539,21.3243,10.5425,5.78336
53.0547,21.4292,10.8018,5.60878
53.2642,21.3164,10.4886,5.23616
